,_id,count,count_with_activity,ratio
222,Game Store,634,295.0,46.53
223,Marine Supply Store,626,151.0,24.12
224,Tea House,615,284.0,46.18
225,Cake Shop,615,92.0,14.96
226,Hawaiian Restaurant,615,381.0,61.95
227,Plumbing Supply Store,608,360.0,59.21
228,Plus Size Clothing Store,592,126.0,21.28
229,Dominican Restaurant,587,401.0,68.31
230,Golf Shop,586,95.0,16.21
231,Pediatrician,582,216.0,37.11
232,Irish Pub,579,236.0,40.76
233,Auto Electrical Service,573,117.0,20.42
234,Animal Feed Store,572,332.0,58.04
235,Record Store,566,3.0,0.53
236,Ramen Restaurant,563,437.0,77.62
237,Fine Dining Restaurant,559,333.0,59.57
238,Colombian Restaurant,552,436.0,78.99
239,Soul Food Restaurant,546,318.0,58.24
240,Dental Implants Periodontist,540,187.0,34.63
241,Surf Shop,539,5.0,0.93
242,Fireworks Store,539,38.0,7.05
243,Bistro,534,310.0,58.05
244,Indian Grocery Store,530,404.0,76.23
245,Quilt Shop,530,103.0,19.43
246,Acupuncture Clinic,530,29.0,5.47
247,Mexican Grocery Store,527,415.0,78.75
248,T-shirt Store,522,38.0,7.28
249,Cabinet Store,521,95.0,18.23
250,Used Clothing Store,516,199.0,38.57
251,Fishing Store,511,128.0,25.05
252,Middle Eastern Restaurant,498,310.0,62.25
253,Packaging Supply Store,498,63.0,12.65
254,Cookie Shop,495,118.0,23.84
255,Brunch Restaurant,495,379.0,76.57
256,Vehicle Shipping Agent,488,13.0,2.66
257,Kitchen Supply Store,486,1.0,0.21
258,Office Furniture Store,480,110.0,22.92
259,Surgical Center,479,97.0,20.25
260,Motorcycle Dealer,478,242.0,50.63
261,Brewpub,472,379.0,80.3
262,Passport Photo Processor,472,3.0,0.64
263,Spanish Restaurant,465,300.0,64.52
264,Costume Store,461,42.0,9.11
265,Outdoor Furniture Store,459,72.0,15.69
266,Hot Dog Restaurant,454,247.0,54.41
267,Candle Store,452,23.0,5.09
268,Collectibles Store,450,57.0,12.67
269,Copy Shop,437,60.0,13.73
270,Bait Shop,433,111.0,25.64
271,Brewery,432,380.0,87.96
272,Religious Goods Store,431,105.0,24.36
273,Stationery Store,428,26.0,6.07
274,Sunglasses Store,425,15.0,3.53
275,Garden Center,421,168.0,39.9
276,Truck Accessories Store,420,198.0,47.14
277,Western Apparel Store,419,148.0,35.32
278,Occupational Health Service,417,316.0,75.78
279,Bookstore,416,87.0,20.91
280,Auto Dent Removal Service,415,50.0,12.05
281,Lumber Store,412,199.0,48.3
282,Car Inspection Station,411,134.0,32.6
283,General Store,410,106.0,25.85
284,Non-profit Organization,406,2.0,0.49
285,Off Licence,399,201.0,50.38
286,Restaurant Supply Store,398,,
287,Car Detailing Service,397,108.0,27.2
288,Machine Shop,395,69.0,17.47
289,Used Book Store,394,92.0,23.35
290,Courier Service,392,21.0,5.36
291,Cheesesteak Restaurant,390,145.0,37.18
292,Electronics Repair Shop,389,73.0,18.77
293,Hookah Bar,388,71.0,18.3
294,Outdoor Sports Store,386,166.0,43.01
295,Mental Health Service,384,3.0,0.78
296,Halal Restaurant,383,196.0,51.17
297,Building Materials Store,380,186.0,48.95
298,Filipino Restaurant,379,234.0,61.74
299,Yarn Store,378,97.0,25.66
300,Dance Store,376,29.0,7.71
301,Korean Barbecue Restaurant,375,289.0,77.07
302,Tuxedo Shop,373,52.0,13.94
303,Watch Store,373,32.0,8.58
304,Coin Dealer,372,63.0,16.94
305,Antique Furniture Store,372,51.0,13.71
306,Gift Basket Store,371,14.0,3.77
307,Art Supply Store,371,126.0,33.96
308,Kosher Restaurant,370,268.0,72.43
309,Fireplace Store,369,1.0,0.27
310,Auto Upholsterer,363,73.0,20.11
311,Leather Goods Store,356,51.0,14.33
312,Cancer Treatment Center,353,103.0,29.18
313,Running Store,353,170.0,48.16
314,Metaphysical Supply Store,351,143.0,40.74
315,Swimwear Store,347,15.0,4.32
316,General Practitioner,346,139.0,40.17
317,Cajun Restaurant,344,236.0,68.6
318,Dive Shop,343,99.0,28.86
319,Chiropractor,334,135.0,40.42
320,Vacuum Cleaner Store,320,40.0,12.5
321,Cardiologist,319,45.0,14.11
322,Auto Radiator Repair Service,318,56.0,17.61
323,Skateboard Shop,314,36.0,11.46
324,Tropical Fish Store,314,179.0,57.01
325,Skin Care Clinic,312,34.0,10.9
326,Chemist,310,273.0,88.06
327,Tool Store,310,134.0,43.23
328,Pound Shop,310,290.0,93.55
329,Shower Door Shop,308,45.0,14.61
330,Glass Shop,307,75.0,24.43
331,Used Furniture Store,305,69.0,22.62
332,State Liquor Store,305,201.0,65.9
333,Brazilian Restaurant,305,219.0,71.8
334,Rv Repair Shop,304,89.0,29.28
335,Lawn Mower Store,303,135.0,44.55
336,Countertop Store,299,88.0,29.43
337,Hearing Aid Store,299,,
338,Motorcycle Parts Store,299,61.0,20.4
339,Ethiopian Restaurant,298,190.0,63.76
340,Tattoo And Piercing Shop,298,112.0,37.58
341,Sewing Shop,296,40.0,13.51
342,Hair Salon,296,112.0,37.84
343,Aircraft Supply Store,295,16.0,5.42
344,Oral Surgeon,292,102.0,34.93
345,Luggage Store,292,20.0,6.85
346,Exercise Equipment Store,292,23.0,7.88
347,Bowling Supply Shop,292,8.0,2.74
348,Screen Printing Shop,291,43.0,14.78
349,Karaoke Bar,288,28.0,9.72
350,Obstetrician-gynecologist,287,1.0,0.35
351,Caterer,286,96.0,33.57
352,Tack Shop,285,64.0,22.46
