Feed,Link,Latitude,Longitude,City,Scope,Topic,Tag
LA Biz News (Minneapolis),"https://rss.bizjournals.com/feed/c978145627afc34bb564a5b305ecc09bd0e153c8/3264?market=twincities&selectortype=channel&selectorvalue=2,17,12,16",44.9778,-93.2650,Minneapolis,Local,"Real Estate, Retail, Travel",labiznews
LA Biz News (Raleigh),"https://rss.bizjournals.com/feed/c978145627afc34bb564a5b305ecc09bd0e153c8/3265?market=triangle&selectortype=channel&selectorvalue=2,17,12,16",35.7796,-78.6382,Raleigh,Local,"Real Estate, Retail, Travel",labiznews
LA Biz News (DC),"https://rss.bizjournals.com/feed/c978145627afc34bb564a5b305ecc09bd0e153c8/3266?market=washington&selectortype=channel&selectorvalue=2,17,12,16",38.9072,-77.0369,DC,Local,"Real Estate, Retail, Travel",labiznews
LA Biz News (Atlanta),"https://rss.bizjournals.com/feed/c978145627afc34bb564a5b305ecc09bd0e153c8/3268?market=atlanta&selectortype=channel&selectorvalue=2,17,12,16",33.7490,-84.3880,Atlanta,Local,"Real Estate, Retail, Travel",labiznews
LA Biz News (Cincinnati),"https://rss.bizjournals.com/feed/c978145627afc34bb564a5b305ecc09bd0e153c8/3269?market=cincinnati&selectortype=channel&selectorvalue=2,17,12,16",39.1031,-84.5120,Cincinnati,Local,"Real Estate, Retail, Travel",labiznews
LA Biz News (Jacksonville),"https://rss.bizjournals.com/feed/c978145627afc34bb564a5b305ecc09bd0e153c8/3270?market=jacksonville&selectortype=channel&selectorvalue=2,17,12,16",30.3322,-81.6557,Jacksonville,Local,"Real Estate, Retail, Travel",labiznews
LA Biz News (Nashville),"https://rss.bizjournals.com/feed/c978145627afc34bb564a5b305ecc09bd0e153c8/3271?market=nashville&selectortype=channel&selectorvalue=2,17,12,16",36.1627,-86.7816,Nashville,Local,"Real Estate, Retail, Travel",labiznews
LA Biz News (Sacramento),"https://rss.bizjournals.com/feed/c978145627afc34bb564a5b305ecc09bd0e153c8/3272?market=sacramento&selectortype=channel&selectorvalue=2,17,12,16",38.5816,-121.4944,Sacramento,Local,"Real Estate, Retail, Travel",labiznews
LA Biz News (Wichita),"https://rss.bizjournals.com/feed/c978145627afc34bb564a5b305ecc09bd0e153c8/3273?market=wichita&selectortype=channel&selectorvalue=2,17,12,16",37.6872,-97.3301,Wichita,Local,"Real Estate, Retail, Travel",labiznews
LA Biz News (Austin),"https://rss.bizjournals.com/feed/c978145627afc34bb564a5b305ecc09bd0e153c8/3274?market=austin&selectortype=channel&selectorvalue=2,17,12,16",30.2672,-97.7431,Austin,Local,"Real Estate, Retail, Travel",labiznews
LA Biz News (Columbus),"https://rss.bizjournals.com/feed/c978145627afc34bb564a5b305ecc09bd0e153c8/3275?market=columbus&selectortype=channel&selectorvalue=2,17,12,16",39.9612,-82.9988,Columbus,Local,"Real Estate, Retail, Travel",labiznews
LA Biz News (Kansas City),"https://rss.bizjournals.com/feed/c978145627afc34bb564a5b305ecc09bd0e153c8/3276?market=kansascity&selectortype=channel&selectorvalue=2,17,12,16",39.0997,-94.5786,Kansas City,Local,"Real Estate, Retail, Travel",labiznews
LA Biz News (New York City),"https://rss.bizjournals.com/feed/c978145627afc34bb564a5b305ecc09bd0e153c8/3277?market=newyork&selectortype=channel&selectorvalue=2,17,12,16",40.7128,-74.0060,New York City,Local,"Real Estate, Retail, Travel",labiznews
LA Biz News (San Antonio),"https://rss.bizjournals.com/feed/c978145627afc34bb564a5b305ecc09bd0e153c8/3278?market=sanantonio&selectortype=channel&selectorvalue=2,17,12,16",29.4241,-98.4936,San Antonio,Local,"Real Estate, Retail, Travel",labiznews
LA Biz News (Baltimore),"https://rss.bizjournals.com/feed/c978145627afc34bb564a5b305ecc09bd0e153c8/3279?market=baltimore&selectortype=channel&selectorvalue=2,17,12,16",39.2904,-76.6122,Baltirmore,Local,"Real Estate, Retail, Travel",labiznews
LA Biz News (Orlando),"https://rss.bizjournals.com/feed/c978145627afc34bb564a5b305ecc09bd0e153c8/3281?market=orlando&selectortype=channel&selectorvalue=2,17,12,16",28.5383,-81.3792,Orlando,Local,"Real Estate, Retail, Travel",labiznews
LA Biz News (San Francisco),"https://rss.bizjournals.com/feed/c978145627afc34bb564a5b305ecc09bd0e153c8/3282?market=sanfrancisco&selectortype=channel&selectorvalue=2,17,12,16",37.7749,-122.4194,San Francisco,Local,"Real Estate, Retail, Travel",labiznews
LA Biz News (Birmingham),"https://rss.bizjournals.com/feed/c978145627afc34bb564a5b305ecc09bd0e153c8/3283?market=birmingham&selectortype=channel&selectorvalue=2,17,12,16",52.4862,-1.8904,Birmingham,Local,"Real Estate, Retail, Travel",labiznews
