,msa,lat,lng
124,"Colorado Springs, CO Metropolitan Area north west",38.95110547519195,-104.91039464791106
125,"Colorado Springs, CO Metropolitan Area south east",38.748463524808045,-104.62392925208894
126,"Boise City, ID Metropolitan Area center",43.60080605,-116.233898
127,"Boise City, ID Metropolitan Area north west",43.64791278836486,-116.30049058078602
128,"Boise City, ID Metropolitan Area south east",43.55369931163514,-116.16730541921397
129,McAllen Metropolitan Area center,26.2164612,-98.17676819999998
130,McAllen Metropolitan Area north west,26.33317798139368,-98.34176522513559
131,McAllen Metropolitan Area south east,26.099744418606324,-98.01177117486438
132,Des Moines Metropolitan Area center,41.6097189,-93.66830135000001
133,Des Moines Metropolitan Area north west,41.70699275745649,-93.80581282788812
134,Des Moines Metropolitan Area south east,41.512445042543504,-93.5307898721119
135,"Springfield, MA Metropolitan Area center",42.11990545,-72.54689505
136,"Springfield, MA Metropolitan Area north west",42.216406177893056,-72.68331359098144
137,"Springfield, MA Metropolitan Area south east",42.02340472210694,-72.41047650901857
138,Greensboro Metropolitan Area center,36.024360949999995,-79.78869189999999
139,Greensboro Metropolitan Area north west,36.445243210252585,-80.38367335891976
140,Greensboro Metropolitan Area south east,35.603478689747405,-79.19371044108021
141,Lakeland Metropolitan Area center,28.062435550000004,-81.94735945
142,Lakeland Metropolitan Area north west,28.119837965823713,-82.02850654584532
143,Lakeland Metropolitan Area south east,28.005033134176294,-81.86621235415467
144,"Akron, OH Metropolitan Area center",41.1150999,-81.48435875000001
145,"Akron, OH Metropolitan Area north west",41.21311593349146,-81.6229194072472
146,"Akron, OH Metropolitan Area south east",41.017083866508536,-81.34579809275283
147,Ogden Metropolitan Area center,41.086104000000006,-111.97988495
148,Ogden Metropolitan Area north west,41.28222263146435,-112.25712863663098
149,Ogden Metropolitan Area south east,40.88998536853566,-111.70264126336902
150,Poughkeepsie Metropolitan Area center,41.707048750000006,-73.9376975
151,Poughkeepsie Metropolitan Area north west,41.70856635872861,-73.9398428720926
152,Poughkeepsie Metropolitan Area south east,41.7055311412714,-73.9355521279074
153,"Madison, WI Metropolitan Area center",43.076580549999996,-89.42520344999998
