category,terminal_category_name,terminal_category_count,insemble_category_name,insemble_category_count,diff
iraqi restaurant,,,iraqi restaurant,1.0,1
club house,,,club house,1.0,1
kingdom hall,,,kingdom hall,1.0,1
motorsports shop,,,motorsports shop,1.0,1
country dance club,,,country dance club,1.0,1
college library,,,college library,1.0,1
meeting room,,,meeting room,1.0,1
jewish restaurant,jewish restaurant,1.0,jewish restaurant,2.0,1
adult education center,,,adult education center,1.0,1
college auditorium,,,college auditorium,1.0,1
maternity clinic,,,maternity clinic,1.0,1
indoor play area,,,indoor play area,1.0,1
lottery retailer,,,lottery retailer,1.0,1
opera house,,,opera house,1.0,1
sports club,,,sports club,1.0,1
venezuelan restaurant,venezuelan restaurant,1.0,venezuelan restaurant,2.0,1
college rec center,,,college rec center,1.0,1
platform,,,platform,1.0,1
resort,,,resort,1.0,1
shawarma place,,,shawarma place,1.0,1
waste facility,,,waste facility,1.0,1
recreation center,recreation center,1.0,recreation center,2.0,1
dive shop,dive shop,1.0,dive shop,2.0,1
seafood restaurant,seafood restaurant,269.0,seafood restaurant,270.0,1
fishing spot,,,fishing spot,1.0,1
malay restaurant,,,malay restaurant,1.0,1
community center,community center,2.0,community center,3.0,1
language school,,,language school,1.0,1
radio station,,,radio station,1.0,1
rv park,,,rv park,1.0,1
outlet mall,,,outlet mall,1.0,1
train station,,,train station,1.0,1
boarding house,,,boarding house,1.0,1
light rail station,,,light rail station,1.0,1
japanese curry restaurant,japanese curry restaurant,4.0,japanese curry restaurant,5.0,1
theme park,,,theme park,1.0,1
child care service,,,child care service,1.0,1
cooking school,,,cooking school,1.0,1
brasserie,brasserie,1.0,brasserie,1.0,0
polish restaurant,polish restaurant,2.0,polish restaurant,2.0,0
moroccan restaurant,moroccan restaurant,3.0,moroccan restaurant,3.0,0
check cashing service,check cashing service,1.0,check cashing service,1.0,0
fireworks store,fireworks store,2.0,fireworks store,2.0,0
indie movie theater,movie theater,2.0,indie movie theater,2.0,0
afghan restaurant,afghani restaurant,3.0,afghan restaurant,3.0,0
animal shelter,animal shelter,1.0,animal shelter,1.0,0
hunan restaurant,hunan restaurant,1.0,hunan restaurant,1.0,0
preschool,preschool,1.0,preschool,1.0,0
bus station,bus station,2.0,bus station,2.0,0
afghani restaurant,afghani restaurant,3.0,afghan restaurant,3.0,0
food producer,food producer,1.0,,,-1
duty free store,duty free store,1.0,,,-1
turkmen restaurant,turkmen restaurant,1.0,,,-1
bmw motorcycle dealer,bmw motorcycle dealer,1.0,,,-1
diamond dealer,diamond dealer,1.0,,,-1
pancake restaurant,pancake restaurant,1.0,,,-1
equipment supplier,equipment supplier,1.0,,,-1
audio visual consultant,audio visual consultant,1.0,,,-1
screen store,screen store,1.0,,,-1
hookah store,hookah store,1.0,,,-1
dried seafood store,dried seafood store,1.0,,,-1
charity,charity,1.0,,,-1
pakistani restaurant,pakistani restaurant,6.0,pakistani restaurant,5.0,-1
country food restaurant,country food restaurant,1.0,,,-1
magazine store,magazine store,1.0,,,-1
underwear store,underwear store,1.0,,,-1
beauty product supplier,beauty product supplier,1.0,,,-1
macrobiotic restaurant,macrobiotic restaurant,1.0,,,-1
produce wholesaler,produce wholesaler,1.0,,,-1
fabric wholesaler,fabric wholesaler,1.0,,,-1
medical book store,medical book store,1.0,,,-1
japanese supermarket,japanese supermarket,1.0,,,-1
dental clinic,dental clinic,1.0,,,-1
trucking company,trucking company,1.0,,,-1
silk plant shop,silk plant shop,1.0,,,-1
airbrushing service,airbrushing service,1.0,,,-1
pizza takeaway,pizza takeaway,1.0,,,-1
seasonal goods store,seasonal goods store,1.0,,,-1
trailer supply store,trailer supply store,1.0,,,-1
bmw dealer,bmw dealer,1.0,,,-1
medical clinic,medical clinic,1.0,,,-1
club,club,1.0,,,-1
invitation printing service,invitation printing service,1.0,,,-1
bottled water supplier,bottled water supplier,1.0,,,-1
legal services,legal services,1.0,,,-1
argentinian restaurant,argentinian restaurant,15.0,argentinian restaurant,14.0,-1
curtain store,curtain store,1.0,,,-1
jewelry repair service,jewelry repair service,1.0,,,-1
sicilian restaurant,sicilian restaurant,1.0,,,-1
equipment rental agency,equipment rental agency,1.0,,,-1
chicken shop,chicken shop,1.0,,,-1
paintings store,paintings store,1.0,,,-1
polynesian restaurant,polynesian restaurant,1.0,,,-1
tempura restaurant,tempura restaurant,1.0,,,-1
bowling supply shop,bowling supply shop,1.0,,,-1
shandong restaurant,shandong restaurant,1.0,,,-1
oil refinery,oil refinery,1.0,,,-1
hungarian restaurant,hungarian restaurant,1.0,,,-1
buddhist supplies store,buddhist supplies store,1.0,,,-1
dart supply store,dart supply store,1.0,,,-1
books wholesaler,books wholesaler,1.0,,,-1
security guard service,security guard service,1.0,,,-1
sri lankan restaurant,sri lankan restaurant,4.0,sri lankan restaurant,3.0,-1
non-profit organization,non-profit organization,1.0,,,-1
masonry supply store,masonry supply store,1.0,,,-1
lighting wholesaler,lighting wholesaler,1.0,,,-1
syokudo and teishoku restaurant,syokudo and teishoku restaurant,1.0,,,-1
skyscraper,skyscraper,1.0,,,-1
