,_id,count,companies
3850,intrepidproperties.com,1,['Costco']
3851,corecre.com,1,['Core Commercial']
3852,ccgretail.com,2,"['Catalyst Commercial Group', 'Catalyst Commercial']"
3853,brianleere.com,1,['Sperry Commercial Global Affiliates']
3854,ckokickboxing.com,3,['CKO Kickboxing']
3855,corrgroupus.com,1,['Corr Group']
3856,wildfox.com,2,['Wildfox']
3857,kadencompanies.com,1,['Kaden Companies']
3858,webercountyutah.gov,2,['Weber County']
3859,landaujewelry.com,1,['Landau']
3860,familydollar.com,6,['Family Dollar']
3861,150pelican.com,1,['VillaSport']
3862,theretailcompanies.com,2,['The Retail Companies']
3863,rpai.com,12,"['RPAI', 'Colliers International']"
3864,carriebobbandco.com,1,['Carrie Bobb & Co']
3865,amcco.com,2,['Americal Management Company']
3866,abercrombie.com,8,"['Abercrombie & Fitch', 'Hollister (HCo)', 'Hollister (hco)', 'abercrombie kids']"
3867,group1auto.com,1,['Group 1 Automotive']
3868,weingarten.com,19,['Weingarten Realty Investors']
3869,napavalleycoffee.com,1,['Napa Valley Coffee Roasting Company']
3870,planetfitness.com,14,['Planet Fitness']
3871,corritore.com,1,['The Corritore Company']
3872,bbva.com,2,"['BBVA Compass', 'Compass']"
3873,metropolitanra.com,2,"['The L&R Group of Companies', 'Metropolitan Realty Associates']"
3874,chanticleerholdings.com,1,['Chanticleer Holdings']
3875,gracorealestate.com,4,['Graco Real Estate Development']
3876,kbebuilding.com,4,['KBE Building']
3877,boxerretail.com,2,['Boxer Retail']
3878,netleasealliance.com,2,['Net Lease Alliance']
3879,barneys.com,1,['Barneys']
3880,microsoft.com,1,['Microsoft Store']
3881,blinkfitness.com,5,"['Blink Fitness', 'Equinox']"
3882,rockinjump.com,1,"[""Rockin' Jump""]"
3883,capitalrealty.net,2,['Capital Realty']
3884,grifols.com,3,['Grifols']
3885,washdepot.com,1,['Wash Depot']
3886,rancespizza.com,1,"[""Rance's Chicago Pizza""]"
3887,vdcllc.com,2,['Valley Development Company']
3888,retailattractions.com,1,['Retail Attractions']
3889,oakcchouston.com,3,['Oak Construction Co']
3890,dickswingsandgrill.com,3,"[""Dick's Wings & Grill""]"
3891,apricotlaneboutique.com,1,['Apricot Lane Boutique']
3892,bonchon.com,2,['Bonchon']
3893,pancheros.com,1,['Pancheros']
3894,ppg.com,1,['PPG Paints']
3895,ngzimmer.com,1,['Newmark Grubb Zimmer']
3896,irishcb.com,2,['Irish Commercial Brokerage']
3897,ubreakifix.com,2,"['Ubreakifix', 'uBreakiFix']"
3898,specsonline.com,1,"[""Spec's""]"
3899,mpihq.com,1,['Minuteman Press']
3900,descogroup.com,4,['The DESCO Group']
3901,pipelinerealty.com,1,['Pipeline Realty']
3902,stewart.com,6,['Stewart Title Guaranty Company']
3903,jagretail.com,2,['Seagrove La']
3904,pieology.com,4,['Pieology Pizzeria']
3905,dailybeatny.com,1,['Real Estate Daily Beat']
3906,californiatortilla.com,2,['California Tortilla']
3907,mpvre.com,5,['MPV Properties']
3908,hotmail.com,5,"['Marketing Brokers Commercial Real Estate', ""Jersey Mike's"", 'California Gold Development', 'Country Waffles', 'Desert Pacific Properties']"
3909,g-able.com,1,['Gable']
3910,equity.today,9,['Equity']
3911,booksamillion.com,5,['Books-a-million']
3912,terracon.com,3,['Terracon']
3913,interstructinc.com,2,['Interstruct']
