Company,Volume IDX,Retail IDX,Category IDX,Brand IDX,Rating,# Reviews,
"CVS (3327 Rosecrans Street Rosecrans And, Midway Dr, San Diego, CA 92110)",2,1.83,0.97,1.12,3,20,
"CVS (35720 Fremont Blvd, Fremont, CA 94536)",1.73,1.56,0.89,0.97,2.5,43,
"CVS (15210 East Rosecrans Ave, La Mirada, CA 90638)",2.08,1.75,1.19,1.17,4,29,
"CVS (1830 N Broadway, Santa Maria, CA 93454)",1.83,1.95,1,1.03,3.4,21,
"CVS (188 Linden St, Wellesley, MA 02482)",1.51,1.66,1.2,0.85,3.6,14,
"CVS (10720 W Bell Rd, Sun City, AZ 85351)",1.5,1.39,0.87,0.84,2.8,28,
"CVS (4490 Paradise Rd, Las Vegas, NV 89109)",1.8,1.38,0.99,1.01,3.2,60,
"CVS (318 W El Norte Pkwy, Escondido, CA 92026)",2.34,1.82,1,1.31,2.4,57,
"CVS (615 Belmont Ave, Springfield, MA 01108)",2.54,2.05,1,1.42,3.2,30,
"CVS (101 Easton Rd Suite 200, Horsham, PA 19044)",1.66,1.63,0.94,0.93,2.4,34,
"CVS (260 South, US-1, Tequesta, FL 33469)",1.97,2.06,1,1.1,3.1,18,
"CVS (1631 S Melrose Dr, Vista, CA 92081)",1.86,1.47,1,1.04,3,23,
"CVS (63 Lincoln Blvd, Lincoln, CA 95648)",1.64,1.48,0.92,0.92,3.9,9,
"CVS (306 E Woodlawn Rd, Charlotte, NC 28217)",1.81,1.78,0.99,1.02,2.8,28,
"CVS (9030 Brooks Rd S, Windsor, CA 95492)",1.6,1.53,1,0.9,2.2,25,
